district_encoded,district_name,state
0,Adilabad,Uttar Pradesh
1,Agar-Malwa,Tripura
2,Agra,Rajasthan
3,Ahilyanagar,Delhi
4,Ahmedabad,Gujarat
5,Aizawl,Mizoram
6,Ajmer,Rajasthan
7,Akola,Maharashtra
8,Alappuzha,Kerala
9,Aligarh,Uttar Pradesh
10,Alipurduar,West Bengal
11,Alirajpur,Gujarat
12,Alluri Sitharama Raju,Uttar Pradesh
13,Almora,Uttarakhand
14,Alwar,Rajasthan
15,Ambala,Chandigarh
16,Ambedkar Nagar,Uttar Pradesh
17,Amethi,Uttar Pradesh
18,Amravati,Maharashtra
19,Amreli,Maharashtra
20,Amritsar,Haryana
21,Amroha,Uttar Pradesh
22,Anakapalli,Andhra Pradesh
23,Anand,Gujarat
24,Ananthapuramu,Andhra Pradesh
25,Anantnag,Jammu And Kashmir
26,Anjaw,Assam
27,Annamayya,Puducherry
28,Anugul,Odisha
29,Anuppur,Madhya Pradesh
30,Araria,Bihar
31,Ariyalur,Tamil Nadu
32,Arvalli,Gujarat
33,Arwal,Bihar
34,Ashoknagar,Madhya Pradesh
35,Auraiya,Uttar Pradesh
36,Aurangabad,Uttar Pradesh
37,Ayodhya,Uttar Pradesh
38,Azamgarh,Uttar Pradesh
39,Bagalkote,Maharashtra
40,Bageshwar,Uttarakhand
41,Baghpat,Haryana
42,Bahraich,Haryana
43,Bajali,Uttar Pradesh
44,Baksa,Assam
45,Balaghat,Maharashtra
46,Balangir,Odisha
47,Baleshwar,Odisha
48,Ballari,Karnataka
49,Ballia,Uttar Pradesh
50,Balod,Haryana
51,Balodabazar-Bhatapara,Chhattisgarh
52,Balotra,Karnataka
53,Balrampur,Uttar Pradesh
54,Banas Kantha,Rajasthan
55,Banda,Uttar Pradesh
56,Bandipora,Jammu And Kashmir
57,Banka,Puducherry
58,Bankura,West Bengal
59,Banswara,Rajasthan
60,Bapatla,Odisha
61,Bara Banki,Uttar Pradesh
62,Baramulla,Jammu And Kashmir
63,Baran,Rajasthan
64,Bareilly,Uttarakhand
65,Bargarh,Odisha
66,Barmer,Rajasthan
67,Barnala,Punjab
68,Barpeta,Assam
69,Barwani,Madhya Pradesh
70,Bastar,Andhra Pradesh
71,Basti,Uttar Pradesh
72,Bathinda,Punjab
73,Beawar,Uttar Pradesh
74,Beed,Telangana
75,Begusarai,Haryana
76,Belagavi,Bihar
77,Bemetara,Bihar
78,Bengaluru Rural,Karnataka
79,Bengaluru Urban,Karnataka
80,Betul,Madhya Pradesh
81,Bhadohi,Uttar Pradesh
82,Bhadradri Kothagudem,Odisha
83,Bhadrak,Odisha
84,Bhagalpur,Bihar
85,Bhandara,Maharashtra
86,Bharatpur,Rajasthan
87,Bharuch,Gujarat
88,Bhavnagar,Gujarat
89,Bhilwara,Rajasthan
90,Bhind,Madhya Pradesh
91,Bhiwani,Haryana
92,Bhojpur,Uttar Pradesh
93,Bhopal,Rajasthan
94,Bichom,Madhya Pradesh
95,Bidar,Uttar Pradesh
96,Bijapur,Haryana
97,Bijnor,Uttarakhand
98,Bikaner,Rajasthan
99,Bilaspur,Himachal Pradesh
100,Birbhum,West Bengal
101,Bishnupur,Manipur
102,Biswanath,Assam
103,Bokaro,Jharkhand
104,Bongaigaon,Assam
105,Botad,Gujarat
106,Boudh,Odisha
107,Budaun,Uttar Pradesh
108,Budgam,Jammu And Kashmir
109,Bulandshahr,Uttar Pradesh
110,Buldhana,Maharashtra
111,Bundi,Rajasthan
112,Burhanpur,Odisha
113,Buxar,Uttar Pradesh
114,Cachar,Assam
115,Central,Delhi
116,Chamarajanagar,Karnataka
117,Chamba,Himachal Pradesh
118,Chamoli,Delhi
119,Champawat,Uttarakhand
120,Champhai,Mizoram
121,Chandauli,Uttar Pradesh
122,Chandel,Manipur
123,Chandigarh,Chandigarh
124,Chandrapur,Maharashtra
125,Changlang,Assam
126,Charaideo,Assam
127,Charkhi Dadri,Haryana
128,Chatra,Jharkhand
129,Chengalpattu,Tamil Nadu
130,Chennai,Andhra Pradesh
131,Chhatarpur,Madhya Pradesh
132,Chhatrapati Sambhajinagar,Uttar Pradesh
133,Chhindwara,Madhya Pradesh
134,Chhotaudepur,Gujarat
135,Chikkaballapura,Tamil Nadu
136,Chikkamagaluru,Karnataka
137,Chirang,Assam
138,Chitradurga,Karnataka
139,Chitrakoot,Uttar Pradesh
140,Chittoor,Andhra Pradesh
141,Chittorgarh,Rajasthan
142,Chumoukedima,Chandigarh
143,Churachandpur,Manipur
144,Churu,Rajasthan
145,Coimbatore,Tamil Nadu
146,Cooch Behar,Uttarakhand
147,Cuddalore,Puducherry
148,Cuttack,Odisha
149,Dadra And Nagar Haveli,Karnataka
150,Dahod,Gujarat
151,Dakshin Bastar Dantewada,Chhattisgarh
152,Dakshin Dinajpur,West Bengal
153,Dakshina Kannada,Karnataka
154,Daman,Madhya Pradesh
155,Damoh,Madhya Pradesh
156,Dangs,Jharkhand
157,Darbhanga,Bihar
158,Darjeeling,West Bengal
159,Darrang,Assam
160,Datia,Uttar Pradesh
161,Dausa,Rajasthan
162,Davanagere,Uttarakhand
163,Dehradun,Uttarakhand
164,Deoghar,Jharkhand
165,Deoria,Uttar Pradesh
166,Devbhumi Dwarka,Gujarat
167,Dewas,Madhya Pradesh
168,Dhalai,Karnataka
169,Dhamtari,Gujarat
170,Dhanbad,Maharashtra
171,Dhar,Madhya Pradesh
172,Dharashiv,Chandigarh
173,Dharmapuri,Tamil Nadu
174,Dharwad,Karnataka
175,Dhemaji,Assam
176,Dhenkanal,Odisha
177,Dholpur,Delhi
178,Dhubri,Assam
179,Dhule,Maharashtra
180,Dibang Valley,Meghalaya
181,Dibrugarh,Assam
182,Dima Hasao,Assam
183,Dimapur,Meghalaya
184,Dindigul,Tamil Nadu
185,Dindori,Madhya Pradesh
186,Diu,Gujarat
187,Doda,Jammu And Kashmir
188,Dumka,Jharkhand
189,Dungarpur,Rajasthan
190,Durg,Madhya Pradesh
191,East,Sikkim
192,East Garo Hills,Meghalaya
193,East Godavari,Andhra Pradesh
194,East Jaintia Hills,Meghalaya
195,East Kameng,Arunachal Pradesh
196,East Khasi Hills,Meghalaya
197,East Siang,Meghalaya
198,East Singhbum,Jharkhand
